Date,Open,High,Low,Close,Adj Close,Volume,BVPS,Symbol
2022-02-03,96.83999633789062,97.47000122070312,95.66999816894531,95.94000244140625,91.78702545166016,8901100,-6.997,SBUX
2022-02-04,95.41000366210938,95.94000244140625,93.83000183105469,95.0,90.88771057128906,8267600,-6.997,SBUX
2022-02-07,95.3499984741211,96.11000061035156,94.87999725341797,95.19000244140625,91.06950378417969,6849000,-6.997,SBUX
2022-02-08,95.29000091552734,96.02999877929688,94.3499984741211,94.91999816894531,90.8111801147461,7161000,-6.997,SBUX
2022-02-09,96.25,97.97000122070312,96.19999694824219,97.12999725341797,92.92550659179688,9353700,-6.997,SBUX
2022-02-10,95.45999908447266,96.80999755859375,94.9800033569336,95.30999755859375,91.64664459228516,9098800,-6.997,SBUX
2022-02-11,95.58999633789062,96.48999786376953,93.36000061035156,93.7300033569336,90.12737274169922,6924800,-6.997,SBUX
2022-02-14,93.75,94.48999786376953,92.41999816894531,93.6500015258789,90.05044555664062,7948500,-6.997,SBUX
2022-02-15,95.1500015258789,95.45999908447266,94.36000061035156,94.51000213623047,90.87739562988281,7722200,-6.997,SBUX
2022-02-16,94.33999633789062,95.55000305175781,93.16000366210938,95.18000030517578,91.52163696289062,6545800,-6.997,SBUX
2022-02-17,94.41999816894531,94.62999725341797,92.77999877929688,93.05000305175781,89.4735107421875,6578200,-6.997,SBUX
2022-02-18,92.55999755859375,94.05000305175781,92.52999877929688,93.33999633789062,89.75235748291016,6210600,-6.997,SBUX
2022-02-22,93.5999984741211,94.04000091552734,92.36000061035156,93.11000061035156,89.53120422363281,8622500,-6.997,SBUX
2022-02-23,93.87999725341797,93.87999725341797,89.44000244140625,89.6500015258789,86.20418548583984,9674800,-6.997,SBUX
2022-02-24,87.5,91.19999694824219,87.25,91.01000213623047,87.51190948486328,9260500,-6.997,SBUX
2022-02-25,91.30000305175781,92.79000091552734,90.27999877929688,92.58000183105469,89.02157592773438,7039400,-6.997,SBUX
2022-02-28,91.29000091552734,92.30999755859375,90.62000274658203,91.79000091552734,88.2619400024414,8591500,-6.997,SBUX
2022-03-01,91.48999786376953,91.51000213623047,89.6500015258789,90.13999938964844,86.67535400390625,7100700,-6.997,SBUX
2022-03-02,90.7699966430664,93.27999877929688,90.58999633789062,92.7699966430664,89.20426177978516,10721100,-6.997,SBUX
2022-03-03,93.4800033569336,93.5,91.08000183105469,91.52999877929688,88.0119400024414,6587400,-6.997,SBUX
2022-03-04,90.97000122070312,91.16000366210938,89.44999694824219,90.02999877929688,86.56958770751953,7179800,-6.997,SBUX
